epoch,accuracy,auc_roc,epoch_time_s,f1_macro,f1_weighted,sensitivity,specificity,train_acc,train_loss,val_loss
1,0.6375,0.9086,242.6,0.4789,0.6756,0.6565,0.9379,0.445875,1.539539,1.6462
2,0.695,0.9309,245.8,0.5578,0.7224,0.7175,0.9456,0.47675,1.224258,7.8321
3,0.6815,0.9329,244.5,0.5719,0.713,0.7248,0.945,0.50275,1.133842,6.6638
4,0.7194,0.9441,245.2,0.6545,0.7421,0.7718,0.9504,0.526125,1.061877,0.9554
5,0.7079,0.9459,247.1,0.647,0.732,0.7662,0.9487,0.542,0.976878,0.7027
6,0.7514,0.9549,248.1,0.671,0.7693,0.7905,0.9539,0.5435,0.988562,0.6408
7,0.7609,0.9535,245.6,0.678,0.7761,0.7916,0.9555,0.57925,0.93878,0.6533
8,0.7344,0.9533,246.3,0.6461,0.7555,0.7934,0.954,0.56225,0.892149,0.6342
9,0.7773,0.9511,246.6,0.656,0.7906,0.7884,0.9563,0.570625,0.854712,0.6526
10,0.7614,0.9478,247.9,0.6669,0.7779,0.7944,0.9563,0.57325,0.846455,0.6469
11,0.7963,0.9596,248.5,0.7125,0.8076,0.8008,0.961,0.573,0.801887,0.6116
12,0.7823,0.955,247.6,0.6852,0.797,0.8054,0.9608,0.605375,0.823638,0.6459
13,0.7903,0.9587,246.6,0.7009,0.8044,0.8155,0.9614,0.586875,0.795561,0.6124
14,0.7913,0.9594,247.4,0.7058,0.8045,0.8061,0.9612,0.612,0.747785,0.6065
15,0.7883,0.9571,247.8,0.7081,0.8022,0.8075,0.9608,0.592125,0.770711,0.5984
16,0.7923,0.9594,247.7,0.7099,0.8059,0.8199,0.962,0.588375,0.794627,0.5987
17,0.7998,0.9603,248.6,0.7113,0.8121,0.8052,0.9621,0.592875,0.754472,0.5911
18,0.8013,0.9595,245.6,0.7208,0.8135,0.805,0.9624,0.612375,0.773742,0.6027
19,0.7963,0.9593,245.7,0.7196,0.8086,0.8094,0.9616,0.61075,0.75932,0.592
20,0.7873,0.9586,247.4,0.7041,0.8005,0.8045,0.9608,0.61,0.721023,0.5912
